individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
Q155540,Hans von Bülow,Q155540,1830,Egypt,Elite,"Hans von Bülow was born into a noble family, as indicated by the ""von"" in his name, which was a preposition used in German-speaking areas before a noble's surname. His father, Karl von Bülow, was a civil servant, a position typically held by individuals of higher social standing during this time period. Furthermore, Bülow received a comprehensive education, including music lessons, which suggests his family had the means to afford such instruction. This level of education was not typically accessible to those outside the elite class during the 19th century.","""Hans von Bülow: A Life and Times"" by Alan Walker; ""The Great Pianists from Mozart to the Present"" by Harold C. Schonberg.

If you are referring to a different individual born in Egypt around 1830, please provide more specific information so I can conduct a more accurate analysis."
Q15001,Aleksander Griboyedov,Q15001,1795,Iran,Elite,"Aleksander Griboyedov was born into a noble family in Moscow, Russia, not Iran. His father, Sergey Griboyedov, was a retired captain of the Russian army, and his mother, Maria Griboyedova, belonged to the noble family of the Fomins. The Griboyedov family was well-off and had a high social standing in society. Aleksander had access to a good education because of his family background. He was taught at home by private tutors before attending Moscow University. His early life housing and living conditions were comfortable, reflecting the wealth and status of his family. He was born into privilege with no known disadvantages due to his family background.","""Aleksandr Sergeyevich Griboyedov."" Encyclopædia Britannica. https://www.britannica.com/biography/Aleksandr-Sergeyevich-Griboyedov"
Q39691,Johann Ludwig Burckhardt,Q39691,1784,Egypt,Elite,"Johann Ludwig Burckhardt was born in Lausanne, Switzerland, not Egypt, in 1784 into a wealthy and influential family. His father, Johann Rudolf Burckhardt, was a successful merchant and a member of the city council, indicating a high social standing. The Burckhardt family was part of the patrician class, a small group of elite families who dominated the political, economic, and social life of Lausanne. This privileged background likely provided Johann Ludwig with access to quality education and comfortable living conditions during his early life.","""Johann Ludwig Burckhardt: A View of His Extraordinary Travels 1788-1817"" by William Desborough Cooley; ""The Patricians of Nuremberg: A Study in Social History"" by Charles M. Andrews."
Q312790,Henri Vieuxtemps,Q312790,1820,Algeria,Middle Class,"Henri Vieuxtemps was born into a family of weavers, a skilled craft occupation, which would place them in the middle class according to your typology. His father was also an amateur violinist, which suggests some level of leisure time and disposable income, further supporting a middle-class classification. Vieuxtemps showed musical talent from a young age and was given his first violin at the age of four, indicating that his family had the resources to provide him with an instrument and likely some form of musical education. However, there is no evidence to suggest that his family was particularly wealthy or part of the elite class.","""Henri Vieuxtemps: Life and Works"" by Lev Ginsburg, ""The Great Violinists"" by Margaret Campbell."
Q435699,Henry Thomas Buckle,Q435699,1821,Syria,Middle Class,"Henry Thomas Buckle was born in Lee, Kent, England, not Syria, on 24th November 1821. His father, Thomas Henry Buckle, was a wealthy businessman who owned a shipping company. His mother, Jane Middleton, was from a family of merchants. Buckle's family was not part of the aristocracy, but they were well-off due to their business. Buckle's father died when he was young, leaving him a considerable fortune. As a result, Buckle had access to education and private tutors, which was a privilege not available to the lower classes. His family lived in comfortable conditions, indicative of their middle-class status. However, they did not possess the titles or political power associated with the elite class.","""Henry Thomas Buckle: A Rational Victorian"" by Cyril Bibby; ""The Miscellaneous and Posthumous Works of Henry Thomas Buckle"" by Grant Allen."
Q311850,Auguste Mariette,Q311850,1821,Egypt,Middle Class,"Auguste Mariette was born in Boulogne-sur-Mer, France, not Egypt, around 1821. His father, François Mariette, was a cutler, which was a skilled craft occupation. This suggests that the family was part of the middle class, as they were not nobility or aristocracy (elite), but also not laborers or peasants (subsistence). The family's middle-class status is further suggested by the fact that Auguste Mariette was educated at the Boulogne municipal school, indicating that his family had the means to provide him with an education. However, there is no evidence to suggest that the family was particularly wealthy or that Mariette grew up in privileged circumstances. His early life housing and living conditions are not well-documented, but given his father's occupation, it is likely that they were typical of the middle class in France at the time.","""Auguste Mariette (1821–1881)"" by Terence DuQuesne in the Journal of the American Research Center in Egypt, Vol. 39 (2002), pp. 69-81."
Q5586,Katsushika Hokusai,Q5586,1760,Japan,Middle Class,"Katsushika Hokusai was born in Edo (now Tokyo), Japan, around 1760. His father is believed to have been Nakajima Ise, a mirror-maker for the shogun. This occupation would have placed Hokusai's family in the artisan class, which is considered middle class according to the provided typology. The mirror-making profession was a skilled craft, and working for the shogun would have provided a stable income. Hokusai's early access to education is also indicative of a middle-class background. He began painting around the age of six, suggesting that his family had the resources to support his early interest in art. However, there is no concrete evidence of inherited privileges or significant family wealth. His living conditions in childhood are not well-documented, but given his father's occupation, it is likely that they were at least adequate.","""Hokusai: Beyond the Great Wave"" by Timothy Clark (2017); ""Hokusai"" by Gian Carlo Calza (2003); ""Hokusai: First Manga Master"" by Jocelyn Bouquillard and Christophe Marquet (2007)."
Q797848,Babur,Q797848,1483,India,Elite,"Babur, whose full name was Zahir-ud-din Muhammad Babur, was born into the Timurid dynasty, a Turko-Mongol lineage that traced its origins back to the conqueror Timur (Tamerlane) and, through his mother, to Genghis Khan. His father, Umar Sheikh Mirza, was the ruler of the Fergana Valley in what is now Uzbekistan. As such, Babur was born into a ruling class family with significant wealth and power. His early life would have been characterized by the privileges of the elite, including access to education and comfortable living conditions. However, his father's death when Babur was around 11 years old led to a period of instability and conflict over succession, which may have impacted his circumstances.","""Babur: Founder of the Mughal Empire in India"" by Stephen F. Dale, ""The Baburnama: Memoirs of Babur, Prince and Emperor"" translated by Wheeler M. Thackston."
Q467427,Utagawa Kunisada,Q467427,1786,Japan,Middle Class,"Utagawa Kunisada, also known as Toyokuni III, was born in 1786 in Honjo, an eastern district of Edo (now Tokyo), Japan. His father was the owner of a ferry boat and a relatively well-off member of the chōnin (townspeople) class, which was essentially the middle class of the Edo period. This class was composed of merchants, artisans, and other non-samurai urban dwellers. As the son of a ferry boat owner, Kunisada would have been born into a comfortable, if not affluent, lifestyle. His family's wealth and status would have afforded him access to education, which was not uncommon for children of the chōnin class. In fact, Kunisada began studying ukiyo-e, a genre of Japanese art, under Toyokuni I at a young age, indicating that his family had the means to support his education. His early life housing and living conditions would have been decent, reflecting his family's middle-class status.","""Utagawa Kunisada (1786–1865)"" by Shigeru Oikawa, in ""Great Masters of Ukiyo-e: Kunisada, Kuniyoshi, Hiroshige, Sharaku, Utamaro, Hokusai"" (1996); ""Edo Culture: Daily Life and Diversions in Urban Japan, 1600-1868"
Q200798,Utagawa Hiroshige,Q200798,1797,Japan,Middle Class,"Utagawa Hiroshige, also known as Andō Hiroshige, was born in Edo (now Tokyo), Japan, in 1797. His father, Andō Gen'emon, was a member of the fire-fighting organization responsible for protecting Edo Castle, the residence of the Shogun. This position was hereditary and had a certain status, as it was directly related to the protection of the ruling class. However, it was not a role that would place the family in the elite class. Hiroshige's family was not wealthy, but they were not impoverished either, placing them in the middle class. Hiroshige's access to education was also indicative of his middle-class status. He was trained in the art of woodblock printing, a skill that was likely accessible due to his family's status. His early life housing and living conditions would have been modest but comfortable, reflecting their middle-class status.","""Hiroshige: From Edo to Kyoto—A Journey through Japan."" (2009). In Heilbrunn Timeline of Art History. New York: The Metropolitan Museum of Art."
Q7328,Vasco da Gama,Q7328,1469,India,Elite,"Vasco da Gama was born into a noble family in Sines, Portugal, not India. His father, Estevão da Gama, was a knight and an explorer, who held an important position in the court of King Afonso V. His mother, Isabel Sodré, was from an English family that had settled in Portugal. The family was well-off and had a high social standing, which would have provided Vasco with access to education and a comfortable early life. His noble birth would have also granted him certain privileges, such as the potential to hold high-ranking positions and own land.","""Vasco da Gama: Round Africa to India, 1497-1498 CE,"" from the Fordham University Internet History Sourcebooks Project; ""Vasco da Gama,"" from the Encyclopedia Britannica."
Q1496,Ferdinand Magellan,Q1496,1480,Philippines,Elite,"Ferdinand Magellan was born into a family of minor Portuguese nobility. His parents were members of the Portuguese court, although their exact roles are not well-documented. Despite their noble status, it is believed that the family was not particularly wealthy. However, after the death of his parents when he was around 10 years old, Magellan became a page for the queen, Leonor, due to his noble birth. This position would have provided him with a good education and a comfortable living situation, despite the lack of family wealth.","1. Zweig, Stefan. ""Conqueror of the Seas: The Story of Magellan."" Viking Press, 1938.
2. Parr, Charles M. ""So Noble a Captain: The Life and Times of Ferdinand Magellan."" Crowell, 1953.
3. Bergreen, Laurence. ""Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe."" HarperCollins, 2003."
Q273969,William Jones,Q273969,1746,India,Middle Class,"Sir William Jones was born in London in 1746 to William Jones, a mathematician from Anglesey in Wales, and his wife Mary Nix. His father was a well-respected mathematician, suggesting a middle-class background. His mother, Mary Nix Jones, was the daughter of a cabinet-maker. The family was not wealthy, but they were not impoverished either. William's father died when he was only three years old, leaving his mother to raise him and his two siblings. Despite the family's limited means, William's mother ensured he received a good education, which was more accessible to middle-class families during this period. William was able to attend Harrow School, one of the top schools in England, due to a scholarship, not because of family wealth. His early life housing and living conditions were modest, typical of a middle-class family in the 18th century. There is no evidence of any inherited privileges or disadvantages.","Cannon, Garland. ""Sir William Jones: A Study in Eighteenth-century British Attitudes to India."" Cambridge University Press, 1964."
Q5676,Matsuo Bashō,Q5676,1644,Japan,Middle Class,"Matsuo Bashō was born in Ueno, in Iga Province, to a low-ranking samurai family. His father was likely a minor administrator in the local samurai government. This places Bashō's family in the middle class according to the provided typology, as samurai were skilled warriors and often served as bureaucrats, which could be compared to modern-day white-collar jobs. Bashō's access to education also suggests a middle-class background. He was a companion and, perhaps, a servant to Tōdō Yoshitada who shared with Bashō a love for haikai no renga, a form of collaborative poetry. This relationship allowed Bashō to develop his literary skills, indicating that he had access to education and cultural activities, which would not typically be available to those in the subsistence class. However, it's important to note that Bashō's family was not wealthy, and after the death of Yoshitada, Bashō left home, possibly due to financial difficulties.","Ueda, Makoto. Matsuo Bashō. Kodansha International, 1982; Qiu, Peipei. Bashō and the Dao: The Zhuangzi and the Transformation of Haikai. University of Hawaii Press, 2005."
Q47842,Empress Dowager Cixi,Q47842,1835,China,Middle Class,"Empress Dowager Cixi, originally named Yehenara Xingzhen, was born into the Manchu Yehe Nara clan, a banner family, which was part of the military caste in the Qing dynasty. Her father, Huizheng, was a mid-level official in the Chinese government, serving as a commander of the Beijing Garrison, which indicates a middle-class status. The family was not particularly wealthy, but they were not poor either. They had enough resources to provide Cixi with a basic education, which was not common for girls at that time, indicating a certain level of family wealth and status. The family lived in a modest house in Beijing, which was a step above the living conditions of the lower class. However, they did not possess the wealth, power, or privileges associated with the elite class.","- ""Empress Dowager Cixi: China's Last Dynasty and the Long Reign of a Formidable Concubine: Legends and Lives During the Declining Days of the Qing Dynasty"" by X.L. Woo
- ""The Last Empress: Madame Chiang Kai-shek and the Birth of Modern China"" by Hannah Pakula
- ""Cixi: The Woman Behind the Throne"" by Jung Chang"
Q17790,Kangxi Emperor,Q17790,1654,China,Elite,"Kangxi Emperor, born Aisin Gioro Xuanye, was born into the ruling Manchu Aisin Gioro clan of the Qing dynasty in China. His father was the Shunzhi Emperor, making Kangxi a prince at birth. The Qing dynasty was the ruling power in China at the time, making his family among the wealthiest and most influential in the country. His birthright would have granted him access to the best education available, as well as a high standard of living. His family's status would have also granted him numerous inherited privileges, such as political influence and a secure position in society.","""The Kangxi Emperor's Tour of the South"" by Jonathan D. Spence, ""The Cambridge History of China: Volume 9, The Ch'ing Dynasty to 1800, Part 2"" by Willard J. Peterson, ""The Manchu Way: The Eight Banners and Ethnic Identity in Late Imperial China"" by Mark C. Elliott."
Q228889,Wu Cheng'en,Q228889,1504,China,Middle Class,"Wu Cheng'en was born in the city of Huai'an, Jiangsu during the Ming Dynasty. His father was a relatively low-ranking official, which would have placed the family in the middle class. The family was not wealthy, but they had enough resources to provide Wu with a good education, which was typical for families of their social standing at the time. Wu's father's position would have also afforded them a certain level of respect and privilege in their community, although they would not have been considered part of the elite. Wu's early life would have been relatively comfortable, but not luxurious.","""The Journey to the West,"" Wu Cheng'en's semi-autobiographical novel, provides some insight into his early life. Additionally, historical records from the Ming Dynasty, such as the ""Ming Shi"" (History of Ming), provide context for the social and economic conditions of the time. Scholarly works on the history of the Ming Dynasty, such as ""The Cambridge History of China: Volume 7, The Ming Dynasty, 1368-1644"" also provide useful information."
Q230120,Julia Margaret Cameron,Q230120,1815,India,Elite,"Julia Margaret Cameron was born in Calcutta, India, to a wealthy family of British origin. Her father, James Pattle, was an official with the East India Company, a powerful entity that controlled much of India's trade and had significant political influence. Her mother, Adeline de l'Etang, was a French aristocrat. The Pattle family was known for their wealth and high social standing in the British colonial society of India. Julia was one of seven sisters, all of whom married into prominent families, further indicating their elite status. As a child, Julia would have had access to education and other privileges due to her family's wealth and social standing. Her early life housing and living conditions would have been comfortable, reflecting her family's wealth and status.","""Julia Margaret Cameron: The Complete Photographs"" by Julian Cox and Colin Ford; ""Julia Margaret Cameron's Women"" by Sylvia Wolf."
Q193344,Miyamoto Musashi,Q193344,1585,Japan,Middle Class,"Miyamoto Musashi was born in Harima Province, Japan, around 1584. His father, Shinmen Munisai, was an accomplished martial artist and master of the sword and jitté (a type of truncheon). Munisai had an honored position teaching martial arts to the Shinmen clan, a branch of the powerful Harima clan. This suggests that Musashi was born into a family of some standing, although not of the highest elite. Musashi's father's occupation as a martial arts instructor would have provided the family with a stable income, placing them in the middle class according to the typology provided. Musashi's early access to martial arts training was likely due to his father's profession, rather than any inherent merit. The family's living conditions are not well-documented, but their status suggests they would have been comfortable for the time. Musashi would have inherited the social standing and connections of his father, as well as the expectation to follow in his footsteps as a martial artist.","""The Lone Samurai: The Life of Miyamoto Musashi"" by William Scott Wilson; ""Miyamoto Musashi: His Life and Writings"" by Kenji Tokitsu."
Q360978,Suzuki Harunobu,Q360978,1725,Japan,Middle Class,"Suzuki Harunobu was born into a family of samurai, which were part of the ruling class in Japan during the Edo period. However, the samurai class was not uniformly wealthy or powerful, and many lived modestly. Harunobu's family was of the lower-ranking samurai, which would place them in the middle class according to the provided typology. They were not wealthy aristocrats, but they were above the subsistence level. Harunobu's father was a samurai, which would have given Harunobu access to some education and a certain level of social standing. However, there is no evidence to suggest that his family was particularly wealthy or that he lived in luxury during his early life. His family's status as lower-ranking samurai would have provided him with some privileges, such as a certain level of respect and the opportunity for education, but it would also have come with disadvantages, such as limited wealth and opportunities compared to higher-ranking samurai and nobility.","""Harunobu."" Grove Art Online. Oxford Art Online. Oxford University Press. ; Screech, Timon. ""The Lens Within the Heart: The Western Scientific Gaze and Popular Imagery in Later Edo Japan."" University of Hawaii Press, 2002."
Q4295,Peter Abelard,Q4295,1079,France,Middle Class,"Peter Abelard was born in Le Pallet, near Nantes, in Brittany, the eldest son of a minor noble French family. His father, Berenger, was a knight, a status that would have placed the family in the lower ranks of the nobility, but above the subsistence class. This suggests that Abelard was born into a family of some means, but not one of great wealth or power. Abelard's early access to education, which was not common among the subsistence class, further supports this classification. Berenger encouraged Abelard's education, and Abelard was taught by a teacher in the nearby town of Nantes, which suggests that the family had the resources to afford this. Abelard's early life housing and living conditions would have been comfortable but not luxurious, consistent with a middle-class upbringing.","""Abelard: A Medieval Life"" by M.T. Clanchy; ""The Letters of Abelard and Heloise"" by Peter Abelard and Heloise; ""Peter Abelard"" by Helen Waddell."
Q194977,Luca della Robbia,Q194977,1399,Italy,Middle Class,"Luca della Robbia was born into a family of wool merchants in Florence, Italy. His family belonged to the artisan class, which was a significant part of the middle class in the late 14th century Italy. The della Robbia family was not part of the ruling elite or nobility, but they were also not subsistence laborers or peasants. They had a respectable standing in society due to their trade. Luca's access to education would have been due to his family's middle-class status, as education was not universally accessible at the time and was often limited to the upper and middle classes. His early life housing and living conditions would have been comfortable but not luxurious, reflecting his family's middle-class status. There are no records of any inherited privileges or disadvantages.","Vasari, Giorgio. ""Lives of the Most Eminent Painters Sculptors and Architects."" 1550."
Q357824,Gerald of Wales,Q357824,1146,United Kingdom,Elite,"Gerald of Wales, also known as Giraldus Cambrensis, was born into a noble family. His father, William de Barri, was a Norman knight, and his mother, Angharad FitzGerald, was a Welsh princess. This indicates that Gerald was born into the ruling class, with both parents having high social standing. His family's wealth and status would have provided him with a comfortable upbringing and access to education, which was a privilege not widely available at the time. Gerald's early life housing would have been in a castle or manor, befitting his noble birth. His inherited privileges would have included a claim to land and titles, as well as the social advantages that came with being part of the aristocracy.","Gerald of Wales' own writings, such as ""The Journey Through Wales"" and ""The Description of Wales,"" provide primary source evidence of his family background. Secondary sources include ""Gerald of Wales: A Voice of the Middle Ages"" by Robert Bartlett and ""The Welsh Kings: Warriors, Warlords, and Princes"" by Kari Maund."
Q143059,Johannes Ockeghem,Q143059,1410,France,,"The birth circumstances and family background of Johannes Ockeghem, a prominent composer of the 15th century, are largely unknown. There is no concrete information available about his parents' occupations, family wealth, access to education, early life housing, or inherited privileges or disadvantages. It is known that he was born in the town of Saint-Ghislain, but the social and economic circumstances of his family remain a mystery. His early life is not well-documented, and the first records of him appear when he was already an adult and had begun his career in music. Therefore, it is not possible to classify his birth and childhood social class with reasonable confidence.","""Johannes Ockeghem."" Grove Music Online. Oxford Music Online. Oxford University Press."
Q215134,John Dunstaple,Q215134,1390,United Kingdom,,"The birth circumstances and family background of John Dunstaple are not well-documented. There is little to no information available about his parents, their occupations, or their social standing. It is also unclear what kind of wealth his family had when he was born and during his childhood. His access to education, early life housing, and living conditions are also not known. Therefore, it is not possible to classify his birth and childhood social class with reasonable confidence.","The primary sources that could potentially provide this information are historical records from the late 1300s and early 1400s in the United Kingdom, such as church records, tax records, and legal documents. However, these sources have not yielded clear information about Dunstaple's family background. Scholarly references on Dunstaple also do not provide this information."
Q220313,Gemistus Pletho,Q220313,1355,Greece,Elite,"Gemistus Pletho, also known as Georgius Gemistus, was born into a Byzantine noble family in Constantinople around 1355. His family was of the ruling class, which would have given him access to a high level of education from a young age. This is evidenced by his later proficiency in both Latin and Greek, skills that were typically reserved for the elite class during this time period. The Byzantine Empire, where Pletho was born and raised, was a society with a rigid class structure, and his family's noble status would have afforded him a comfortable lifestyle and certain privileges. However, specific details about his parents' occupations, family wealth, and early life housing conditions are not well-documented.","""The Last of the Hellenes: Plethon and Platonic Political Philosophy"" by Vassilis G. Raptopoulos, ""Byzantium and the Renaissance: Greek Scholars in Venice"" by Deno John Geanakoplos."
Q2609522,Sedulius Scottus,Q2609522,850,Ireland,,"The birth circumstances and family background of Sedulius Scottus, a 9th-century Irish teacher, Latin grammarian, and scriptural commentator, are largely unknown. There is no available information about his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. The lack of information about his early life is likely due to the historical period in which he lived, as records from this time are scarce and often incomplete. His later accomplishments and fame do not provide any clues about his social origin or family circumstances.","The primary sources for information about Sedulius Scottus are his own writings, which do not provide any information about his early life or family background. Secondary sources, such as scholarly articles and books, also do not provide this information due to the lack of primary source material."
Q256541,Robert Grosseteste,Q256541,1175,United Kingdom,,"The birth circumstances and family background of Robert Grosseteste, born around 1175, are largely unknown. There is no concrete evidence regarding his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. Some sources suggest that he may have come from humble beginnings, but this is speculative and not based on primary historical evidence.","The primary sources for information about Robert Grosseteste are his own writings and the writings of his contemporaries. However, these sources focus on his intellectual and ecclesiastical achievements, not his family background or early life. For more detailed information about his life and work, see ""Robert Grosseteste"" by James McEvoy (2000) and ""Robert Grosseteste and the Origins of Experimental Science, 1100-1700"" by A.C. Crombie (1971). These sources, while comprehensive in their coverage of Grosseteste's life and work, do not provide specific information about his birth circumstances or family background."
Q583119,Gilbert de La Porrée,Q583119,1070,France,Elite,"Gilbert de La Porrée was born into a noble family in Poitiers, France, around 1070. His father, whose name is not recorded, was a knight, indicating a high social standing. The family's wealth and status would have provided Gilbert with access to education, which was a privilege not widely available at the time. His early life housing and living conditions would have been comfortable, reflecting the family's elite status. However, specific details about the family's wealth, the parents' occupations, and Gilbert's early life housing and living conditions are not well-documented.","""Gilbert of Poitiers and His Comrades: The Doctrine of the Homaousios in the Twelfth Century,"" by Ian P. Wei."
Q166876,Isidore of Seville,Q166876,560,Spain,Elite,"Isidore of Seville was born into a prominent Hispano-Roman family. His parents, Severianus and Theodora, were members of an influential family who were heavily involved in the political and religious life of Visigothic Spain. His elder brothers, Leander and Fulgentius, were both bishops, indicating the family's high social standing and access to education. The fact that his family was able to secure such high ecclesiastical positions for his brothers suggests that they were of considerable wealth and influence. Isidore's early life would have been characterized by a privileged upbringing, with access to the best education and living conditions of the time.","""Isidore of Seville and the Formation of Medieval Spain"" by Graham, John. Palgrave Macmillan, 2016. ""Isidore of Seville: De Ecclesiasticis Officiis"" by Kéry, L. Medieval Institute Publications, 2008."
