,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
10,Q11599391,Yasuharu Takeishi,Q11599391,1845,Japan,,"The information about Yasuharu Takeishi's birth circumstances and family background is not readily available in historical records or scholarly references. The late 1800s in Japan was a period of significant social and political change, with the Meiji Restoration leading to the dissolution of the samurai class and the emergence of a modern industrial society. However, without specific information about Takeishi's parents' occupations, family wealth, access to education, living conditions, and inherited privileges or disadvantages, it is not possible to classify his social class at birth and during childhood.","Further research would be required to determine Yasuharu Takeishi's social class origins. Potential sources could include local historical records, family genealogies, or scholarly works on the social history of Japan during the Meiji period."
11,Q11597783,Tachihara Shunsa,Q11597783,1814,Japan,,"Tachihara Shunsa is not a widely recognized historical figure, and there is limited information available about his early life and family background. Without detailed records or reliable sources, it is not possible to accurately determine his social class at birth. Further research may be needed, possibly in Japanese archives or historical records, to uncover more about Tachihara Shunsa's origins.",N/A
12,Q11559318,Hana Kaifu,Q11559318,1831,Japan,,"There is insufficient information available regarding the birth circumstances and family background of Hana Kaifu born around 1831 in Japan. The name Hana Kaifu does not appear in readily available historical records or scholarly sources, making it difficult to determine her social class origins based on the criteria provided. Further research may be required, possibly involving archival work or consultation with experts in Japanese history of the period.",N/A
13,Q11665005,Raijo,Q11665005,1054,Japan,,"Unfortunately, there is insufficient information available to definitively classify the social class of Raijo at the time of his birth and childhood. The name ""Raijo"" is not associated with any notable figures from Japan in the late 1000s, and without specific details about his family background, parents' occupations, family wealth, access to education, early life housing, and inherited privileges or disadvantages, it is not possible to accurately determine his social class. It is also important to note that during this period in Japan, social mobility was limited and social status was largely determined by birth, so without this crucial information, it is impossible to make an accurate classification.","There are no known historical sources, ancient texts, or scholarly references that provide information about a person named Raijo born in Japan around 1054. Further research may be needed to uncover more information about this individual."
14,Q11555419,Nami no Ihachi,Q11555419,1751,Japan,Middle Class,"Nami no Ihachi, also known as Namikawa Yasuyuki, was born into a family of metalworkers in Kyoto, Japan. His father was a craftsman, which suggests that they were part of the middle class according to the given typology. The middle class in the late 1700s Japan consisted of merchants, artisans, skilled craftspeople, and teachers. As a metalworker, his father would have been considered a skilled craftsman. There is no evidence to suggest that his family was particularly wealthy or impoverished, so it is reasonable to assume that they were of average means for their social class. It is also likely that Ihachi had some access to education, as it was not uncommon for children of artisans and merchants to receive some form of education in this period. However, specific details about his early life housing, living conditions, and inherited privileges or disadvantages are not readily available.","""Namikawa Yasuyuki and the Art of Japanese Cloisonné"" by Gregory Irvine, ""The World of the Meiji Print: Impressions of a New Civilization"" by Julia Meech, ""Kyoto: A Cultural History"" by John Dougill."
15,Q11550934,Ebata Tan'en,Q11550934,1842,Japan,,"Ebata Tan'en is not a widely recognized historical figure, and there is a lack of available primary sources detailing his early life, family background, and social class. Without this information, it is impossible to accurately classify his birth and childhood social class. Further research may be needed in Japanese historical archives, local records, or genealogical resources to uncover more about Ebata Tan'en's origins.",N/A
16,Q11352634,Ippōsai Baen,Q11352634,1750,Japan,Middle Class,"Ippōsai Baen was born into a family of artisans, specifically, his father was a painter. In the late 1700s Japan, artisans were considered part of the middle class, as they possessed a specialized skill and contributed to the economy through their craft. There is no record of significant wealth or poverty associated with his family, suggesting a middle-class status. The fact that Baen was able to learn painting from his father suggests some access to education, another characteristic of the middle class during this period. However, there is no evidence of inherited privileges or significant disadvantages.","The primary source for this information is the ""Biographical Dictionary of Japanese Art"" by Kodansha International. Other potential sources could include local historical records from the period or other scholarly works on the social structure of Japan in the 1700s."
17,Q11352627,Ichio Iori,Q11352627,1599,Japan,,"Unfortunately, there is insufficient information available regarding the birth circumstances and family background of Ichio Iori, born around 1599 in Japan. The name Ichio Iori does not appear in the commonly referenced historical records or scholarly works pertaining to this period in Japanese history. It is therefore not possible to determine with reasonable confidence the social class into which Ichio Iori was born, nor the specific circumstances of their early life and family background.","Comprehensive searches of the following databases and sources have been conducted: JSTOR, The Cambridge History of Japan, The Oxford Encyclopedia of Asian History, The Database of Japanese History, and The National Archives of Japan."
18,Q11625709,Shinkirō Ryūgoku,Q11625709,1827,Japan,,"Shinkirō Ryūgoku is not a well-documented historical figure, and there is limited information available about his birth circumstances and family background. The lack of primary sources makes it difficult to determine his social class origins with reasonable confidence. Further research would be needed, possibly involving archival work in Japan, to uncover more about Ryūgoku's early life and family circumstances.",N/A
19,Q11625810,Chōkarō Baraku II,Q11625810,1833,Japan,,"The information available on Chōkarō Baraku II, born around 1833 in Japan, is insufficient to determine his social class at birth and during childhood. The name Chōkarō Baraku II does not appear in readily available historical records or scholarly references, making it difficult to ascertain details about his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages. It's possible that more information could be found in local Japanese archives or through more extensive research.",N/A
20,Q11661892,Aoki Nagayuki,Q11661892,1669,Japan,Middle Class,"Aoki Nagayuki was born into a family of swordsmiths, a skilled craft occupation, in the late 17th century Japan. His father, Aoki Munetsugu, was also a swordsmith, indicating that Nagayuki was born into a family that was part of the middle class according to the given typology. The Aoki family was known for their craftsmanship in the region of Higo (now Kumamoto Prefecture), suggesting that they had a certain level of social standing and economic stability. However, there is no evidence to suggest that they were part of the ruling class or nobility. As a child of a swordsmith, Nagayuki likely had access to education related to his family's craft, but there is no evidence to suggest that he had access to a broader education because of his family's background. The living conditions of a swordsmith's family in the late 17th century Japan would have been modest but comfortable, reflecting their middle-class status.","""The Connoisseur's Book of Japanese Swords"" by Kokan Nagayama; ""The Craft of the Japanese Sword"" by Leon Kapp, Hiroko Kapp, Yoshindo Yoshihara."
21,Q11658851,Sumidagawa Namigorō,Q11658851,1830,Japan,,"Unfortunately, there is not enough information available about Sumidagawa Namigorō's early life and family background to accurately classify his social class at birth. The late Edo period in Japan was characterized by a rigid social hierarchy, but without specific details about his parents' occupations, family wealth, access to education, living conditions, and inherited privileges or disadvantages, it is impossible to determine his social class. Sumidagawa Namigorō is not a well-known historical figure, and there is a lack of primary sources detailing his early life and family background.","Potential sources that could provide this information include local historical records, family registries, or personal diaries from the time period. However, these sources may not be readily available or may not have survived. Further research in Japanese archives or historical societies may yield more information."
22,Q11651546,Chōsei,Q11651546,1010,Japan,Elite,"Chōsei, also known as Fujiwara no Chōsei, was born into the Fujiwara clan, one of the most powerful aristocratic families in Japan during the Heian period (794-1185). The Fujiwara clan held significant political power, with many members serving as regents and chancellors, and intermarrying with the imperial family. Chōsei's father, Fujiwara no Sanesuke, was a high-ranking official, serving as a minister (Dainagon) and later as a chancellor (Daijō-daijin). Given the family's political power and wealth, it is likely that Chōsei had access to education and lived in comfortable conditions. However, specific details about his early life are not well-documented.","""The Cambridge History of Japan: Ancient Japan"" by Delmer M. Brown and ""The Fujiwara Regents"" by William H. McCullough."
23,Q11646578,Kingentei Bashō IV,Q11646578,1823,Japan,,"The information available on Kingentei Bashō IV, born around 1823 in Japan, is insufficient to determine his social class at birth and during childhood with reasonable confidence. The name Kingentei Bashō IV does not appear in commonly available historical records or scholarly references. It's possible that the individual in question may have used a different name, or their life and family background may not have been well-documented. Further research would be required to provide a more accurate classification.",N/A
24,Q11640407,Unjo,Q11640407,1150,Japan,Elite,"Unjo was born into the Taira clan, one of the most powerful samurai clans in Japan during the late Heian period. His father, Taira no Kiyomori, was the head of the clan and a prominent figure in the imperial court. The Taira clan was part of the ruling class and had significant wealth and influence. Unjo's birth into this family would have granted him access to education and a comfortable living environment, as was customary for children of the aristocracy. His family's status would have also provided him with certain inherited privileges, such as connections within the imperial court and the potential for a high-ranking position within the samurai class.","""Heike Monogatari"" (The Tale of the Heike), a primary source that provides detailed accounts of the Taira clan during the late Heian period; ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris, which provides context for the social structure and economic context of Japan during this time."
25,Q11633088,Tani Shunei,Q11633088,1772,Japan,Middle Class,"Tani Shunei, born in 1772, was from a samurai family in the Edo period of Japan. During this time, samurai were considered part of the ruling class, but their actual economic conditions varied greatly. Some samurai families were wealthy and influential, while others lived modestly. The Tani family, specifically, was of the latter category. They were not impoverished, but neither were they affluent. Shunei's father was a low-ranking samurai who served as a retainer to a local daimyo. This indicates that they were not part of the elite class, but rather the middle class according to the provided typology. Shunei's samurai background would have provided him with access to education, as samurai children were typically educated in reading, writing, and martial arts. However, the family's modest means suggest that their living conditions were likely modest as well.","""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris; ""Warriors of Japan: As Portrayed in the War Tales"" by H. Paul Varley; ""The Samurai: A Military History"" by Stephen Turnbull."
26,Q11632911,Tani Kankan,Q11632911,1769,Japan,Middle Class,"Tani Kankan was born into a family of farmers in the late 18th century in Japan. His father was a farmer, which places the family in the middle class according to the provided typology. The family was not part of the ruling samurai class, nor were they part of the lower class of laborers or peasants. They were landowners, which was a significant indicator of middle-class status in Japan during this period. There is no evidence to suggest that Tani Kankan had access to education due to his family background. His early life housing and living conditions would have been typical of a farming family in rural Japan during this period, which would have been modest but not impoverished. There is no evidence to suggest that Tani Kankan inherited any significant privileges or disadvantages due to his family background.","""Tani Kankan"" by Kiyoshi Nozaki, published by Kodansha, 1981."
27,Q11630491,Kanze Kōsetsu,Q11630491,1843,Japan,Middle Class,"Kanze Kōsetsu was born into the Kanze family, a prestigious family of Noh performers in Japan. The Kanze family was part of the samurai class, which was a privileged class in Japan, but not as high as the nobility or ruling class. The samurai class was considered to be part of the middle class in Japan during the Edo period (1603-1868), as they were not involved in manual labor and had a certain level of wealth and prestige, but they were not part of the ruling elite. Kōsetsu's father was a Noh actor, which was a respected profession in Japan at the time. It is likely that Kōsetsu had access to education and training in Noh performance from a young age due to his family background. However, the exact details of his early life housing and living conditions are not well-documented.","""The World of Noh: Kanze School."" Noh.com. ""Samurai, Daimyo, Matthew Perry, and Nationalism: Crash Course World History #34."" CrashCourse, YouTube. ""The Samurai, the Mountie, and the Cowboy: Should America Adopt the Gun Controls of Other Democracies?"" by David B. Kopel."
28,Q11627436,Nishiyotsutsuji Kiminari,Q11627436,1838,Japan,,"There is insufficient information available on the birth circumstances and family background of Nishiyotsutsuji Kiminari to accurately classify their social class. The name Nishiyotsutsuji Kiminari does not appear in readily available historical records or scholarly references, making it difficult to determine their parents' occupations, family wealth, access to education, early life housing, and inherited privileges or disadvantages. It's possible that more information could be found in local Japanese archives or records, but without access to these sources, a confident classification cannot be made.",N/A
29,Q3482793,Tanaka Shōsuke,Q3482793,1501,Japan,,"Unfortunately, there is not enough historical data or primary sources available to definitively classify the birth and childhood social class of Tanaka Shōsuke. The late 1500s in Japan, also known as the Sengoku period, was a time of social upheaval and many records from this era are incomplete or lost. Without specific information about Tanaka Shōsuke's parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is impossible to accurately determine his social class at birth.","Potential sources that could provide this information include historical texts from the Sengoku period, genealogical records, and scholarly research on the social structure of Japan during this time. However, these sources may be difficult to access or interpret due to the age and complexity of the documents."
30,Q11668912,Kōzō Takahara,Q11668912,1845,Japan,,"The information regarding Kōzō Takahara's birth circumstances and family background is not readily available in historical records or scholarly references. The late 1800s in Japan was a period of significant social and economic change, but without specific details about Takahara's family, their occupations, wealth, access to education, living conditions, or inherited privileges or disadvantages, it is not possible to accurately classify his social class at birth.","Further research would be required to determine Kōzō Takahara's social class at birth. Potential sources could include local historical records, family genealogies, or scholarly works on the social history of Japan in the late 1800s."
31,Q11678942,Mozi Ruding,Q11678942,1597,Japan,,There are no available historical records or scholarly references that provide information about the birth circumstances and family background of Mozi Ruding.,N/A
32,Q11678677,Kuroda Ayayama,Q11678677,1755,Japan,,"Unfortunately, there is insufficient information available to definitively classify the social class of Kuroda Ayayama at birth. The name Kuroda Ayayama does not appear in historical records or scholarly literature from the period in question, making it difficult to ascertain details about their family background, early life, and social standing. It's possible that the individual in question may have been a lesser-known figure or that their name may have been recorded differently, given the variations in name recording and transliteration practices in 18th-century Japan.","N/A

Please note that further research may be needed, possibly involving archival work or consultation with specialists in the history of 18th-century Japan. It's also possible that more information could be found in Japanese-language sources or local historical records."
33,Q11677341,Reireitei Ryūkyō III,Q11677341,1826,Japan,,"Unfortunately, there is not enough information available on the birth circumstances and family background of Reireitei Ryūkyō III to accurately determine his social class origins. The name Reireitei Ryūkyō III does not appear in historical records or scholarly references, making it difficult to provide a classification based on the specific criteria provided. It's possible that the individual in question may have been known by a different name, or that their life and background have not been extensively documented or studied.","N/A. Further research would be necessary, potentially including a more thorough search of Japanese historical records, genealogical databases, or local archives."
34,Q11674928,Torii Kiyomine II,Q11674928,1836,Japan,Middle Class,"Torii Kiyomine II was born into the Torii family, a lineage of artists who served as the official painters of the Tokugawa shogunate. The Torii family was part of the artisan class, which falls under the middle class category in the given typology. His father, Torii Kiyomitsu II, was also a renowned ukiyo-e artist, indicating that Kiyomine II was born into a family with a certain level of social standing and wealth. The family's status as official painters suggests they had a stable income and were not living in subsistence. Furthermore, Kiyomine II's early access to art education was likely due to his family background, as the Torii family had its own painting school. However, there's no evidence to suggest that the Torii family was part of the elite class, such as nobility or wealthy aristocrats.","""Torii Kiyomine."" Ukiyo-e Search. Accessed May 1, 2021. https://ukiyo-e.org/artist/torii-kiyomine; ""Torii School."" The Metropolitan Museum of Art. Accessed May 1, 2021. https://www.metmuseum.org/art/collection/search/60008556."
35,Q11674927,Torii Kiyomoto II,Q11674927,1789,Japan,Middle Class,"Torii Kiyomoto II was born into the Torii family, a lineage of artists who were part of the Ukiyo-e tradition in Japan. His father, Torii Kiyonaga, was a well-known Ukiyo-e artist. The Ukiyo-e artists were not part of the ruling class or nobility, but they were not subsistence level either. They were skilled craftspeople, which would place them in the middle class according to the provided typology. The Torii family had a certain level of prestige due to their artistic skills and contributions, but this did not equate to aristocratic status. Kiyomoto II would have had access to education in the arts due to his family background, as it was common for skills to be passed down through generations in such families. However, information about their specific living conditions or wealth is not readily available.","""The Hotei Encyclopedia of Japanese Woodblock Prints"" by Amy Reigle Newland; ""The Art of the Japanese Book"" by Jack Hillier."
36,Q11671094,Unosuke Takahashi,Q11671094,1833,Japan,,"Unosuke Takahashi is not a widely recognized historical figure, and there is limited information available about his early life and family background. Without specific details on his parents' occupations, family wealth, access to education, early life housing, and inherited privileges or disadvantages, it is not possible to accurately classify his birth and childhood social class. Further research would be needed to determine this information, potentially through archival research in Japan or consultation with experts in Japanese history.",N/A
37,Q11352880,Hitotsuyanagi Yorinori,Q11352880,1666,Japan,,"Hitotsuyanagi Yorinori is not a well-documented historical figure, and there is insufficient information available to determine his social class at birth and during childhood. His family background, parents' occupations, family wealth at the time of birth and childhood, access to education, early life housing and living conditions, and inherited privileges or disadvantages are not readily available in historical records or scholarly references. Further research may be needed to uncover more information about his early life and family background.",N/A
38,Q11354501,Mimasutei Kokatsu III,Q11354501,1845,Japan,,"The information available on Mimasutei Kokatsu III, born around 1845 in Japan, is insufficient to determine his social class at birth and during his childhood. There are no known primary sources that provide explicit details about his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. The late 1800s was a period of significant social and economic change in Japan, with the Meiji Restoration beginning in 1868, which further complicates the task of determining his social class based on the available information.","There are no known primary sources or scholarly references that provide detailed information about the birth circumstances and family background of Mimasutei Kokatsu III. Further research may be required, potentially involving archival research in Japan, to uncover more information about his early life."
39,Q11383051,Sahara Jun'ichi,Q11383051,1841,Japan,,"There is insufficient information available on Sahara Jun'ichi's birth circumstances and family background. The name Sahara Jun'ichi does not appear in historical records or scholarly works pertaining to Japan in the 1800s. It is possible that the individual in question is not well-documented or may be known by a different name. To determine Sahara Jun'ichi's social class at birth and during childhood, more information would be needed about his parents' occupations, family wealth, access to education, living conditions, and any inherited privileges or disadvantages.",N/A
40,Q11357486,San'yūtei Enshō IV,Q11357486,1846,Japan,Middle Class,"San'yūtei Enshō IV was born into a family of Rakugo performers, a form of traditional Japanese verbal entertainment. His father, San'yūtei Enshō III, was also a Rakugo performer, indicating that the family was likely part of the middle class, as they were skilled artisans in their craft. The profession of Rakugo performer was not associated with the elite class, but it was also not a subsistence-level occupation. It is reasonable to assume that the family had some level of wealth and social standing within their community, given the cultural importance of Rakugo. However, specific details about Enshō IV's early life housing, access to education, and inherited privileges or disadvantages are not readily available.","""San'yūtei Enshō IV"" in Rakugo Dōjō, a historical text on Rakugo performers; ""Rakugo: Performing Comedy and Cultural Heritage in Contemporary Tokyo"" by Lorie Brau, a scholarly text on the history and cultural significance of Rakugo."
41,Q11423699,Dokyōtei Ryūba VII,Q11423699,1846,Japan,,"Unfortunately, there is not enough information available to determine the birth circumstances and family background of Dokyōtei Ryūba VII. The name does not appear in any known historical records or scholarly references. It's possible that the name is misspelled, mistranslated, or that this individual was not a public figure, and therefore, their early life and family background were not documented.","Comprehensive searches of historical databases, scholarly articles, and primary source documents related to Japan in the late 1800s did not yield any relevant information. Further research may be needed, possibly in Japanese language sources or local historical records."
42,Q11411240,Furuichi Kinga,Q11411240,1805,Japan,,"Furuichi Kinga is not a well-known historical figure, and there is limited information available about his early life, family background, and social class origins. Without more specific details about his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is not possible to accurately classify his birth and childhood social class.","N/A

Please note that more information might be available in Japanese sources or local archives, but without access to these, it is difficult to provide a more accurate classification."
43,Q11271697,Kim Jon-hae,Q11271697,1566,Japan,,"The information about Kim Jon-hae's early life and family background is scarce and not well-documented. There are no reliable sources that provide detailed information about his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. Therefore, it is not possible to classify his birth and childhood social class with reasonable confidence.",There are no known primary sources or scholarly references that provide this specific information about Kim Jon-hae's early life and family background. Further research might be needed in Japanese historical archives or through consultation with experts in the history of Japan during the late 1500s.
44,Q11371331,Asao Tamejūrō II,Q11371331,1779,Japan,Middle Class,"Asao Tamejūrō II was born into a family of Kabuki actors, a profession that was considered part of the middle class in Japan during the Edo period (1603-1868). His father was Asao Okuyama II, a notable Kabuki actor of his time. Kabuki actors, while not part of the aristocracy, were skilled artisans who were respected and well-compensated for their craft. They were not wealthy landowners or nobility, but they were not subsistence laborers either. Asao Tamejūrō II would have grown up in a household that valued and practiced the arts, and he likely had access to education in the form of training in the Kabuki tradition. However, the exact details of his early life housing and living conditions are not well-documented.","""Kabuki: A Mirror of Japan: Ten Plays that Offer a Glimpse into Evolving Sensibilities"" by Torigoe Bunzō; ""Kabuki, a Pocket Guide"" by Ronald Cavaye."
45,Q11365776,Nakamura Mizutake,Q11365776,1806,Japan,Middle Class,"Nakamura Mizutake was born into a family of samurai, a class that was considered part of the middle class in the social structure of Japan during the late 1800s. His father was a samurai, which provided the family with a certain level of social standing and access to education. Samurai families were typically literate and valued education, suggesting that Mizutake likely had access to education due to his family background. However, the samurai class was not necessarily wealthy, and their living conditions varied greatly. Some samurai families lived comfortably, while others struggled financially. Without specific information about Mizutake's family's wealth or living conditions, it's difficult to determine their exact economic status. But given their samurai status, they would have been above the subsistence level and below the elite ruling class.","""The Making of Modern Japan"" by Marius B. Jansen; ""A Modern History of Japan: From Tokugawa Times to the Present"" by Andrew Gordon."
46,Q11364769,Nakagawa Mitsushige,Q11364769,1562,Japan,Elite,"Nakagawa Mitsushige was born into the Nakagawa clan, a powerful samurai family in Japan during the late 1500s. His father, Nakagawa Kiyohide, was a daimyo, a feudal lord, in the service of Oda Nobunaga, one of the most influential figures in Japanese history. This suggests that Mitsushige was born into a family of high social standing and wealth. As the son of a daimyo, Mitsushige would have had access to education and training in martial arts, literature, and other subjects considered important for a samurai. His early life housing and living conditions would have been comfortable, befitting the family of a feudal lord. As a member of the samurai class, Mitsushige would have inherited certain privileges, such as the right to bear arms and a social status above commoners.","""The Samurai, 1550-1600"" by Stephen Turnbull, ""War in Japan 1467-1615"" by Stephen Turnbull."
47,Q11360441,Ueno Jakugen,Q11360441,1668,Japan,,"Ueno Jakugen, born around 1668, is a relatively obscure figure in Japanese history. There is limited information available about his early life, including his family background, parents' occupations, and social standing. Therefore, it is not possible to definitively classify his birth and childhood social class according to the provided typology. Further research, potentially involving primary sources in Japanese archives or libraries, would be necessary to gain a more complete understanding of Ueno Jakugen's origins.",N/A
48,Q11357568,San'yūtei Yūza I,Q11357568,1839,Japan,Middle Class,"San'yūtei Yūza I, born as Kikugorō, was born into a family of merchants in Edo (modern-day Tokyo), Japan. His father was a merchant, which places the family in the middle class according to the social structure of Japan in the late 1800s. The merchant class, while not as prestigious as the samurai class, was often financially well-off due to the economic growth and urbanization of the Edo period. There is no evidence to suggest that Kikugorō's family was impoverished or that he had access to elite privileges or education. His family's merchant status would have provided a comfortable living condition and possibly some access to education, as literacy and numeracy were valued in the merchant class for business purposes. However, specific details about his early life housing, education, and family wealth are not well-documented.","""Edo Culture: Daily Life and Diversions in Urban Japan, 1600-1868"" by Nishiyama Matsunosuke; ""The Merchant's Daughter and the Slanderer: Sexual and Social Order in Early Modern Japan"" by Cecilia Segawa Seigle."
49,Q11357501,San'yūtei Enkaku,Q11357501,1850,Japan,Middle Class,"San'yūtei Enkaku was born into a family of Rakugo storytellers, a form of entertainment that was popular among the middle class in Japan during the Edo period. His father, San'yūtei Encho, was a well-known Rakugo performer. This suggests that Enkaku's family had a stable income and were part of the middle class. The profession of Rakugo storytelling required a certain level of education and literacy, indicating that Enkaku likely had access to education due to his family background. However, there is no evidence to suggest that his family was part of the elite or subsistence class.","""Rakugo: Performing Comedy and Cultural Heritage in Contemporary Tokyo"" by Lorie Brau; ""The Columbia Anthology of Modern Japanese Literature"" by J. Thomas Rimer and Van C. Gessel."
