,measure,OLS Without FE,MixedLM With FE,Variable,MixedLM With FE & Pop
45,Intercept,0.05,-0.14,infant_mortality,-0.10
46,Intercept_CI,"(-0.25, 0.36)","(-1.16, 0.88)",infant_mortality,"(-1.25, 1.04)"
47,Intercept_SE,0.15,0.52,infant_mortality,0.58
48,Intercept_t-value,0.36,-0.26,infant_mortality,-0.18
49,Log-Likelihood,-59.94,-43.20,infant_mortality,-42.82
50,N,44,44,infant_mortality,44
51,R-squared,0.17,,infant_mortality,
52,Coef,0.40,0.88,life_expectancy,0.73
53,Coef_CI,"(0.12, 0.69)","(0.45, 1.30)",life_expectancy,"(0.10, 1.36)"
54,Coef_SE,0.14,0.22,life_expectancy,0.32
55,Coef_p-value,0.007,0.000,life_expectancy,0.023
56,Coef_t-value,2.79,4.00,life_expectancy,2.27
57,Correlation,0.31,0.76,life_expectancy,0.76
58,Intercept,0.27,0.02,life_expectancy,-0.05
59,Intercept_CI,"(0.03, 0.51)","(-0.86, 0.91)",life_expectancy,"(-1.01, 0.91)"
60,Intercept_SE,0.12,0.45,life_expectancy,0.49
61,Intercept_t-value,2.27,0.05,life_expectancy,-0.10
62,Log-Likelihood,-103.73,-101.37,life_expectancy,-101.43
63,N,75,75,life_expectancy,75
64,R-squared,0.10,,life_expectancy,
65,Coef,0.66,0.81,numeracy,0.34
66,Coef_CI,"(0.49, 0.83)","(0.67, 0.95)",numeracy,"(0.16, 0.52)"
67,Coef_SE,0.09,0.07,numeracy,0.09
68,Coef_p-value,0.000,0.000,numeracy,0.000
69,Coef_t-value,7.76,11.28,numeracy,3.70
70,Correlation,0.50,0.69,numeracy,0.69
71,Intercept,-0.08,-0.05,numeracy,-0.12
72,Intercept_CI,"(-0.22, 0.07)","(-0.65, 0.55)",numeracy,"(-0.93, 0.68)"
73,Intercept_SE,0.07,0.31,numeracy,0.41
74,Intercept_t-value,-1.07,-0.17,numeracy,-0.30
75,Log-Likelihood,-260.07,-124.44,numeracy,-101.60
76,N,185,185,numeracy,185
77,R-squared,0.25,,numeracy,
78,Coef,0.33,0.33,urbanization,0.33
79,Coef_CI,"(0.07, 0.59)","(0.17, 0.50)",urbanization,"(0.12, 0.55)"
80,Coef_SE,0.13,0.09,urbanization,0.11
81,Coef_p-value,0.012,0.000,urbanization,0.002
82,Coef_t-value,2.57,3.87,urbanization,3.08
83,Correlation,0.27,0.27,urbanization,0.27
84,Intercept,0.10,-0.03,urbanization,-0.03
85,Intercept_CI,"(-0.12, 0.32)","(-0.55, 0.49)",urbanization,"(-0.56, 0.50)"
86,Intercept_SE,0.11,0.27,urbanization,0.27
87,Intercept_t-value,0.87,-0.12,urbanization,-0.12
88,Log-Likelihood,-127.17,-62.57,urbanization,-63.47
89,N,88,88,urbanization,88
90,R-squared,0.07,,urbanization,
91,Coef,0.71,0.55,wellbeing,0.45
92,Coef_CI,"(0.49, 0.94)","(0.19, 0.91)",wellbeing,"(0.01, 0.89)"
93,Coef_SE,0.11,0.18,wellbeing,0.22
94,Coef_p-value,0.000,0.003,wellbeing,0.047
95,Coef_t-value,6.32,2.99,wellbeing,1.99
96,Correlation,0.53,0.28,wellbeing,0.28
97,Intercept,-0.04,-0.03,wellbeing,0.09
98,Intercept_CI,"(-0.23, 0.15)","(-0.48, 0.42)",wellbeing,"(-0.51, 0.68)"
99,Intercept_SE,0.10,0.23,wellbeing,0.30
100,Intercept_t-value,-0.42,-0.13,wellbeing,0.29
101,Log-Likelihood,-145.28,-103.56,wellbeing,-103.02
102,N,105,105,wellbeing,105
103,R-squared,0.28,,wellbeing,
0,Intercept,0.00,-0.25,gdp,-0.35
1,Intercept_SE,0.04,0.19,gdp,0.32
2,Intercept_CI,"(-0.08, 0.08)","(-0.63, 0.12)",gdp,"(-0.97, 0.27)"
3,Intercept_t-value,0.00,-1.32,gdp,-1.10
4,Coef,0.50,0.47,gdp,0.24
5,Coef_SE,0.04,0.03,gdp,0.04
6,Coef_CI,"(0.42, 0.57)","(0.41, 0.53)",gdp,"(0.15, 0.33)"
7,Coef_t-value,13.04,15.80,gdp,5.40
8,Coef_p-value,0.000,0.000,gdp,0.000
9,Log-Likelihood,-655.67,-416.23,gdp,-396.95
10,Correlation,0.50,0.46,gdp,0.46
11,N,514,514,gdp,514
12,R-squared,0.25,,gdp,
