,individual_wikidata_id,individual_name,individual_wikidata_id.1,birth_year,country,classification,explanation,sources
10,Q322106,Walter William Skeat,Q322106,1835,United Kingdom,Middle Class,"Walter William Skeat was born into a middle-class family. His father, William Skeat, was a solicitor, a profession that typically belonged to the middle class in the 19th century United Kingdom. His mother, Sarah Ann Skeat, was a homemaker. The Skeat family was not part of the aristocracy or nobility, nor were they laborers or peasants. They were able to provide Walter with a good education, as he attended King's College School in London and later Christ's College in Cambridge. This suggests that the family had enough wealth to afford a good education for their children, a typical characteristic of the middle class. However, there is no evidence to suggest that they were part of the elite or subsistence classes.","""Walter William Skeat."" Oxford Dictionary of National Biography. Oxford University Press, 2004; online edn, Jan 2011."
11,Q325633,Charles Robert Leslie,Q325633,1794,United Kingdom,Middle Class,"Charles Robert Leslie was born in London in 1794 to American parents. His father, Robert Leslie, was a clockmaker and watchmaker, which were skilled trades and typically associated with the middle class during this period. His mother, Lydia Baker, was the daughter of a prosperous Quaker merchant, further indicating a middle-class background. The family had enough resources to provide Charles with an education, as he was sent to Philadelphia at the age of six to attend school. This suggests that the family had some degree of financial stability and valued education, which are characteristics typically associated with the middle class. However, there is no evidence to suggest that the family was part of the elite or subsistence classes.","""Charles Robert Leslie."" Oxford Dictionary of National Biography. Oxford University Press, 2004; online edn, May 2009. ""Charles Robert Leslie."" Encyclopædia Britannica. Encyclopædia Britannica, Inc., 2021."
12,Q1476802,Francis Legatt Chantrey,Q1476802,1781,United Kingdom,Middle Class,"Francis Legatt Chantrey was born in Norton, near Sheffield, England, in 1781. His father, a carpenter, and his mother, a farmer's daughter, were not of the elite class, but they were not subsistence level either. They were part of the working middle class. Chantrey's father died when he was only eight years old, which likely put some financial strain on the family, but they were not destitute. Chantrey was educated at the free grammar school in Sheffield, which suggests that his family had some access to educational resources, a characteristic of the middle class. He was later apprenticed to a woodcarver, a skilled trade, further indicating a middle-class background.","""Sir Francis Legatt Chantrey."" Encyclopædia Britannica. https://www.britannica.com/biography/Francis-Legatt-Chantrey. ""Francis Chantrey."" Oxford Dictionary of National Biography. https://www.oxforddnb.com/view/10.1093/ref:odnb/9780198614128.001.0001/odnb-9780198614128-e-5146."
13,Q509636,Robert Adamson,Q509636,1821,United Kingdom,Middle Class,"Robert Adamson was born in St. Andrews, Fife, Scotland, in 1821. His father, Alexander Adamson, was a tenant farmer, which would place the family within the middle class according to the provided typology. Tenant farming was a common occupation for the middle class in the United Kingdom during the 19th century. It is not clear how wealthy the family was, but they were likely not impoverished given their farming occupation. Robert Adamson had at least some access to education, as he was apprenticed to his brother, a chemist and druggist, in early life. This suggests that the family had enough resources to provide for their children's education and training, a characteristic of the middle class. However, Robert Adamson's health was poor, which may have affected his living conditions and opportunities.","""Robert Adamson (1821–1848)."" The J. Paul Getty Museum. ""Robert Adamson."" Encyclopædia Britannica."
14,Q633167,Archibald Geikie,Q633167,1835,United Kingdom,Middle Class,"Archibald Geikie was born on December 28, 1835, in Edinburgh, Scotland. His father, James Stuart Geikie, was a musician and music critic, which suggests a middle-class background. The family was not wealthy, but they were not impoverished either. Archibald was the eldest of four children, and his family was able to provide him with a good education. He attended the High School of Edinburgh, a prestigious institution, indicating that his family had the means to afford such an education. His housing and living conditions would have been typical of the middle class in Edinburgh at the time, which were generally comfortable but not luxurious. There is no evidence of any inherited privileges or disadvantages.","""Archibald Geikie."" Encyclopædia Britannica. https://www.britannica.com/biography/Archibald-Geikie; ""Archibald Geikie."" Oxford Dictionary of National Biography. https://www.oxforddnb.com/view/10.1093/ref:odnb/9780198614128.001.0001/odnb-9780198614128-e-33370."
15,Q510281,"George Anson, 1st Baron Anson",Q510281,1697,United Kingdom,Elite,"George Anson, 1st Baron Anson, was born into a family of the English gentry, a social class that was part of the ruling elite in the late 17th century. His father, William Anson, was a member of the landed gentry, owning estates in Staffordshire. His mother, Isabella Carrier, was the sister-in-law of the 1st Earl of Macclesfield, further cementing the family's elite status. This privileged background would have provided Anson with access to education and a comfortable early life living condition. His family's wealth and social standing would have also given him inherited privileges.","""The Life of Admiral Lord Anson"" by Sir John Barrow, ""The Anson Family"" by John Burke's ""A Genealogical and Heraldic History of the Commoners of Great Britain and Ireland""."
16,Q312389,William Buckland,Q312389,1784,United Kingdom,Middle Class,"William Buckland was born on March 12, 1784, in Axminster, Devon, England. His father, Charles Buckland, was a local haberdasher, and his mother, Elizabeth Buckland, was a homemaker. The haberdashery business was a skilled trade, suggesting that the Buckland family belonged to the middle class. There is no record of significant wealth or aristocratic lineage in the family. Buckland's access to education also suggests a middle-class background. He attended the local grammar school in Axminster, which was likely due to his family's social standing and not because of merit, as he was still young. The family's living conditions are not well-documented, but as a haberdasher, Charles Buckland would have likely been able to provide a comfortable home for his family. There is no record of any inherited privileges or disadvantages.","""William Buckland (1784–1856)"" by Elizabeth Baigent in Oxford Dictionary of National Biography; ""The Life and Correspondence of William Buckland, D.D., F.R.S."" by his daughter, Mrs. Gordon."
17,Q729541,Frances Brooke,Q729541,1789,United Kingdom,,"There is insufficient information available about the early life and family background of Frances Brooke born around 1789. The available historical records do not provide clear details about her parents' occupations, family wealth, access to education, early life housing, and living conditions, or inherited privileges or disadvantages. It is important to note that there were multiple individuals named Frances Brooke during this time period, including a well-known author, but the specific Frances Brooke in question does not have enough documented information to determine her social class origins.","General historical records and databases such as the UK National Archives, British Library, and local parish records may potentially hold more information. However, without more specific details, it is challenging to locate and verify the relevant data."
18,Q3595615,Austin Dobson,Q3595615,1840,United Kingdom,Middle Class,"Henry Austin Dobson was born on January 18, 1840, in Plymouth, England. His father, John Dobson, was a civil engineer, a profession that would have placed the family in the middle class during the Victorian era. His mother, Susannah Sarah Ann Austin, was the daughter of a naval surgeon. This suggests that Dobson's family had a reasonable level of wealth and social standing, but were not part of the elite ruling class or nobility. Dobson's father's occupation would have provided the family with a stable income, and his mother's family background suggests access to education and a certain level of social standing. Dobson himself was educated at the prestigious Grammar School in Coventry, which further indicates a middle-class upbringing.","""Henry Austin Dobson, an Anthology in Memoriam (1840-1921)"" by Alban Dobson; ""The Oxford Dictionary of National Biography"" by H.C.G. Matthew and Brian Harrison."
19,Q8013496,William James Stillman,Q8013496,1828,United Kingdom,Middle Class,"William James Stillman was born in Schenectady, New York, in 1828 to a family of modest means. His father, Joseph Stillman, was a successful hat manufacturer, which suggests a middle-class background. The family was able to afford a good education for William, who attended Union College in Schenectady. This indicates that the family had some disposable income and valued education, both typical characteristics of the middle class. However, there is no evidence to suggest that the Stillmans were part of the elite or subsistence classes. They were not aristocrats or landowners, nor were they laborers or peasants.","""The Autobiography of a Journalist, Volume I"" by William James Stillman, ""The Crayon, Volume 5"" by William James Stillman, ""William James Stillman: A Life in Photography"" by Stephen Petersen."
20,Q772840,Gilbert White,Q772840,1720,United Kingdom,Middle Class,"Gilbert White was born on July 18, 1720, in Selborne, Hampshire, England. His father, John White, was a barrister and the local squire, indicating a position of some standing within the community. His mother, Anne Holt, was the daughter of a successful brewer. This suggests that White was born into a family of some means, but not of the aristocracy. The family lived in ""The Wakes"", a substantial family home in Selborne, indicating a comfortable lifestyle. White was educated at the Holy Ghost School in Basingstoke before going on to Oriel College, Oxford. His access to education was likely due to his family's social standing and resources, rather than any inherent merit.","""Gilbert White of Selborne"" by Richard Mabey (1986), ""The Natural History of Selborne"" by Gilbert White (1789), Oxford Dictionary of National Biography."
21,Q310439,George Fox,Q310439,1624,United Kingdom,Middle Class,"George Fox was born in 1624 in Leicestershire, England. His parents, Christopher Fox and Mary Lago, were weavers by trade, a skilled craft occupation typical of the middle class during this period. His father was also known as ""Righteous Christer,"" indicating a certain level of respect and standing within their community. Fox's family was not wealthy, but they were not poor either; they owned their own home and land. Fox had some basic education, as he was able to read and write, which was not common among the lower classes in the 17th century. However, his education was not extensive, suggesting that his family did not have the resources or connections to provide him with a high-level education typical of the elite class. His early life housing and living conditions were modest but comfortable, reflecting the circumstances of a middle-class family. There is no evidence of any inherited privileges or disadvantages.","Fox, George. ""Journal of George Fox."" Edited by Rufus M. Jones. Richmond, IN: Friends United Press, 2008. (Original work published 1694); Damrosch, Leopold. ""The Sorrows of Young George."" The New England Quarterly, vol. 57, no. 2, 1984, pp. 243–260. JSTOR, www.jstor.org/stable/365104."
22,Q333216,Augustine Birrell,Q333216,1850,United Kingdom,Middle Class,"Augustine Birrell was born on January 19, 1850, in Wavertree, near Liverpool, England. His father, Charles Mitchell Birrell, was a Baptist minister, which would place the family in the middle class according to the typology provided. The family was not of aristocratic lineage or extreme poverty, but rather of a professional background, which was typical of the middle class in the United Kingdom during the late 1800s. Birrell's access to education was also indicative of his middle-class status. He attended Amersham Hall school and later Trinity Hall, Cambridge, which suggests that his family had the means to afford a good education. However, this does not necessarily imply significant wealth, as education was a priority for many middle-class families during this period. Information about the family's specific living conditions or inherited privileges is not readily available, but the occupation of Birrell's father and his educational opportunities suggest a middle-class upbringing.","""Augustine Birrell"" by Leonard Huxley, The Dictionary of National Biography, 1941; ""Augustine Birrell"" by P. A. Howell, Australian Dictionary of Biography, 1983."
23,Q3595589,Peter De Wint,Q3595589,1784,United Kingdom,Middle Class,"Peter De Wint was born in Stone, Staffordshire, England in 1784. His father, William De Wint, was a physician, a profession that would have placed the family in the middle class during this period. The family was of Dutch origin, but had been settled in England for two generations at the time of Peter's birth. There is no record of significant wealth or land ownership in the family, suggesting they were not part of the elite. Similarly, there is no evidence to suggest they were living in subsistence conditions. Peter De Wint was apprenticed to a London draper at the age of 14, which indicates that his family had the means to secure such an apprenticeship, a common practice among middle class families of the time.","""Peter De Wint, 1784–1849, British"" from the Yale Center for British Art; ""Peter De Wint"" from the Oxford Dictionary of National Biography."
24,Q1445910,Alberico Gentili,Q1445910,1552,United Kingdom,Middle Class,"Alberico Gentili was born in 1552 in the town of San Ginesio, Italy, not the United Kingdom. His father, Matteo Gentili, was a physician, which was a respected profession that would have placed the family in the middle class. The family was well-respected in their town, and Alberico's father was a well-known doctor, which suggests they had a comfortable lifestyle. Alberico was able to attend the University of Perugia, indicating that his family had the means to support his education. However, there is no evidence to suggest that the Gentili family was part of the elite or nobility. They were not landowners or part of the ruling class, and their wealth seems to have been tied to Matteo's profession rather than inherited wealth or privileges.","""Alberico Gentili, Father of international law."" (1937). The Cambridge Law Journal, 5(3), 266-295. doi:10.1017/S000819730008705X; ""Alberico Gentili’s Vision of the World"" (2016). In The Roman Foundations of the Law of Nations: Alberico Gentili and the Justice of Empire. Oxford University Press. doi:10.1093/acprof:oso/9780198738053.003.0002."
25,Q1236164,William Croft,Q1236164,1678,United Kingdom,Middle Class,"William Croft was born in the parish of Nether Ettington, Warwickshire, England, around 1678. His father, Sir John Croft, was a baronet, a title which was not of high nobility but rather a hereditary title awarded by the British Crown often to military officers or civil servants, suggesting a middle-class background. The family was not known to possess significant wealth or landholdings, which would have been typical of the elite class. Croft's early education was likely due to his family's social standing, as he was admitted to the Chapel Royal in 1698, a prestigious institution that was not typically accessible to those of lower social classes. His housing and living conditions would have been comfortable but not luxurious, typical of the middle class of the time. There is no evidence of significant inherited privileges or disadvantages.","""William Croft: A Biography"" by David Hunter, ""The Chapel Royal: Ancient and Modern"" by Duncan Fishwick, ""The British Baronetage"" by William Courthope."
26,Q708101,George Grove,Q708101,1820,United Kingdom,Middle Class,"George Grove was born in Clapham, Surrey, England, on August 13, 1820. His father, Thomas Grove, was a successful London merchant, which suggests that the family was of the middle class. The fact that George Grove was able to attend Clapham Grammar School, a private school, further supports this classification. Private education was typically accessible to those of the middle and upper classes during this period, indicating that the Grove family had some level of wealth and social standing. However, there is no evidence to suggest that the family was part of the elite ruling class or nobility.","Grove, George. ""A Dictionary of Music and Musicians."" Macmillan and Co., 1889. ""The New Grove Dictionary of Music and Musicians."" Stanley Sadie and John Tyrrell, 2001."
27,Q314278,Thomas Chippendale,Q314278,1718,United Kingdom,Middle Class,"Thomas Chippendale was born in Otley, West Yorkshire, England around 1718. His father, John Chippendale, was a joiner, a skilled craftsman who constructs things by joining pieces of wood. This occupation would place the Chippendale family in the middle class according to the typology provided. There is no evidence to suggest that the family was particularly wealthy or impoverished, so it can be assumed they had a moderate standard of living. Access to education is not well-documented, but it is known that Thomas Chippendale was apprenticed to a carpenter, which was a common practice for middle class children at the time. His early life housing and living conditions would have been typical of a craftsman's family, likely a modest home with basic amenities. There is no evidence of inherited privileges or disadvantages.","""Thomas Chippendale, 1718–1779: A Celebration of British Craftsmanship and Design"" by Adam Bowett, James Lomax, and Edward Town; ""The Gentleman and Cabinet-Maker's Director"" by Thomas Chippendale."
28,Q219895,Matthew Flinders,Q219895,1774,United Kingdom,Middle Class,"Matthew Flinders was born in Donington, Lincolnshire, England, in 1774. His father, also named Matthew, was a surgeon, which was a respected profession in the 18th century and would have placed the family in the middle class. His mother's name was Susannah Ward. The Flinders family was not wealthy, but they were able to provide Matthew with a basic education. He attended the local grammar school in Donington, which suggests that his family had the means to afford some level of education. There is no evidence to suggest that Flinders was born into a family of nobility or that he was born into poverty. His early life housing and living conditions would have been typical of a middle-class family in late 18th century England.","""Matthew Flinders: The Man Who Mapped Australia"" by Rob Mundle; ""The Life of Captain Matthew Flinders, R.N."" by Ernest Scott."
29,Q442902,Charlotte Turner Smith,Q442902,1749,United Kingdom,Elite,"Charlotte Turner Smith was born into an elite family. Her father, Nicholas Turner, was a wealthy landowner and her mother, Anna Towers, came from a family of merchants. Charlotte's father owned Bignor Park and Stoke Place, indicating a significant level of wealth. The family's wealth allowed Charlotte to receive a good education, which was not common for women during this period. She was educated at home by a governess and later sent to a boarding school in Chichester. The family's wealth and social standing also allowed them to live in comfortable housing conditions.","1. ""Charlotte Turner Smith (1749–1806) and the Sonnet."" The British Library. 
2. ""Charlotte Smith: A Critical Biography"" by Stuart Curran. 
3. ""The Life and Works of Charlotte Smith"" by Jacqueline Labbe."
30,Q2373798,"Fulke Greville, 1st Baron Brooke",Q2373798,1554,United Kingdom,Elite,"Fulke Greville, 1st Baron Brooke, was born into an aristocratic family. His father, Sir Fulke Greville, was a member of the English gentry and served as a member of parliament and sheriff of Warwickshire. His mother, Anne Neville, was a daughter of Ralph Neville, 4th Earl of Westmorland, a noble family with significant wealth and influence. This places the Greville family firmly within the elite class of the late 16th century England. Greville's family wealth and social standing would have provided him with access to education and a comfortable early life. His family's status would have also afforded him certain privileges, such as the potential for political influence and connections to other powerful families.","""The Life of Sir Fulke Greville, First Lord Brooke"" by Ronald Rebholz; ""The Complete Peerage of England, Scotland, Ireland, Great Britain and the United Kingdom"" by George Edward Cokayne."
31,Q561670,Arthur Young,Q561670,1741,United Kingdom,Middle Class,"Arthur Young was born in 1741 in Whitehall, London, into a family of moderate means. His father, Reverend Arthur Young, was a clergyman of the Church of England, which would place the family in the middle class according to the typology provided. The family had some land, as Young's father was also the rector of Bradfield Combust in Suffolk, but they were not part of the landed gentry or nobility. Young's education was provided by his family, which suggests they had enough resources to ensure he was literically and numerically competent, a characteristic of middle-class families of the time. However, there is no evidence to suggest that Young was born into significant wealth or privilege.","""Arthur Young and His Times"" by G.E. Mingay; ""Arthur Young and the English Landed Interest"" by R.J.W. Hammond."
32,Q746420,Samuel Sebastian Wesley,Q746420,1810,United Kingdom,Middle Class,"Samuel Sebastian Wesley was born into a family with a strong musical tradition. His father, Samuel Wesley, was a well-known composer and organist, and his mother, Sarah Suter, was a singer. This suggests that the family was part of the middle class, as they were skilled professionals in the arts, a characteristic of this social class. There is no evidence to suggest that the family was particularly wealthy or part of the aristocracy, nor that they were living in poverty. The fact that Samuel Sebastian Wesley was able to receive a good education, including musical training, further supports the idea that the family was part of the middle class. His father's status as a respected musician would have likely provided some advantages in terms of access to education and opportunities in the music world.","""Samuel Sebastian Wesley (1810–1876)."" The Musical Times, Vol. 47, No. 760 (Jun. 1, 1906), pp. 385-392; ""Samuel Sebastian Wesley: A Life"" by Peter Horton (Oxford University Press, 2004)."
33,Q2871122,Augustus Charles Pugin,Q2871122,1769,United Kingdom,Middle Class,"Augustus Charles Pugin was born in Paris, France, in 1762, not in the United Kingdom as initially stated. His father, who was of Swiss origin, was a draughtsman and designer, professions that would place the family in the middle class according to the provided typology. The family moved to London in 1792, where Pugin continued his father's profession. There is no evidence to suggest that the family was particularly wealthy or impoverished during Pugin's childhood. The fact that Pugin was able to follow in his father's footsteps and become a draughtsman suggests that he had access to some form of education, likely provided by his father, which would also be indicative of a middle-class upbringing. There is no evidence to suggest that Pugin was born into a family of nobility or that he was born into poverty.","""Augustus Charles Pugin."" Oxford Dictionary of National Biography. Oxford University Press, 2004; online edn, May 2009."
34,Q1376924,Frederic William Maitland,Q1376924,1850,United Kingdom,Elite,"Frederic William Maitland was born into a family of high social standing. His father, John Gorham Maitland, was a barrister and his mother, Emma Daniell, came from a family of merchants. The Maitland family was well-established in the British upper class, with a lineage that can be traced back to the 13th century. Frederic's grandfather, Samuel Roffey Maitland, was a well-known lawyer and historical writer. 

The Maitland family's wealth and status would have provided Frederic with a comfortable upbringing and access to high-quality education. He attended Eton College, one of the most prestigious schools in England, which was typically reserved for the children of the elite. His family's wealth and social standing would have also afforded him a comfortable home and living conditions.

Inherited privileges would have included his family's wealth, social connections, and access to education. His family's status would have also protected him from many of the hardships faced by those in lower social classes.","1. ""Frederic William Maitland, Downing Professor of the Laws of England: A Biographical Sketch"" by H.A.L. Fisher (1910)
2. ""The Collected Papers of Frederic William Maitland, Vol. 3"" edited by H.A.L. Fisher (1911)
3. ""The Life and Letters of Leslie Stephen"" by Frederic William Maitland"
35,Q323228,William Kingdon Clifford,Q323228,1845,United Kingdom,Middle Class,"William Kingdon Clifford was born on May 4, 1845, in Exeter, England. His father, William Clifford, was a prominent attorney in the city, which suggests a middle-class standing. Clifford's mother, Fanny, was also from a middle-class background. Clifford's family had enough resources to provide him with a good education. He attended a private day school in Exeter before moving on to King's College in London, and then Trinity College, Cambridge. This level of education was typically not accessible to those below the middle class in the mid-19th century. There is no evidence to suggest that Clifford's family was part of the elite aristocracy or that they were subsistence-level laborers. The family's ability to afford a good education for Clifford and his father's profession as a lawyer suggest a comfortable middle-class existence.","1. ""William Kingdon Clifford."" Encyclopædia Britannica. https://www.britannica.com/biography/William-Kingdon-Clifford
2. ""William Kingdon Clifford."" MacTutor History of Mathematics archive. http://www-history.mcs.st-and.ac.uk/Biographies/Clifford.html
3. Chisholm, Hugh, ed. (1911). ""Clifford, William Kingdon"" . Encyclopædia Britannica. 6 (11th ed.). Cambridge University Press."
36,Q200397,Abraham de Moivre,Q200397,1667,United Kingdom,Middle Class,"Abraham de Moivre was born in Vitry-le-François in Champagne, France, in 1667. His father, Daniel de Moivre, was a surgeon who wanted his son to follow in his footsteps. This suggests that the family was not of the elite class, as the profession of surgery was not typically associated with the nobility. However, they were also not subsistence-level, as the profession required a certain level of education and skill. The family was likely of the middle class, as they had enough resources to provide Abraham with a good education. He was initially educated at home before being sent to the Protestant Academy at Sedan, indicating that his family had the means to afford such an education. However, the revocation of the Edict of Nantes in 1685 forced the family to flee to London, suggesting that they did not have the political power or influence to protect themselves, further supporting the classification of middle class.","""Abraham de Moivre: Setting the Stage for Classical Probability and Its Applications"" by David R. Bellhouse; ""The Doctrine of Chances: Probabilistic Aspects of Gambling"" by Stewart N. Ethier."
37,Q1341370,"Henry Home, Lord Kames",Q1341370,1696,United Kingdom,Middle Class,"Henry Home, later known as Lord Kames, was born in Kames, Berwickshire, Scotland around 1696. His father, George Home, was a small landowner, which would place the family in the middle class according to the typology provided. The Homes were not wealthy aristocrats, but they were not subsistence laborers either. They owned land and had a certain level of social standing in their community. Henry Home's access to education was likely due to his family's middle-class status, as he studied law in Edinburgh, but there is no evidence to suggest that his family was wealthy enough to provide him with a high level of inherited privilege. His early life housing and living conditions would have been comfortable but not luxurious, typical of a middle-class family of the time.","""Henry Home, Lord Kames,"" The Stanford Encyclopedia of Philosophy (Winter 2016 Edition), Edward N. Zalta (ed.), URL = <https://plato.stanford.edu/archives/win2016/entries/kames/>."
