,index,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
10,Q43270,Pieter Brueghel the Elder,Q43270,1525,Belgium,Middle Class,"Pieter Brueghel the Elder was born around 1525 in Breda, Duchy of Brabant, in the Habsburg Netherlands. His family background is not well-documented, but it is generally believed that his father was a peasant or a small landowner, which would place them in the middle class according to the typology provided. Brueghel's early access to education is also indicative of a middle-class background. He was apprenticed to Pieter Coecke van Aelst, a leading Antwerp artist, and later studied in Italy. This suggests that his family had the means to support his education and training, which would not typically be available to those of lower social standing. However, there is no evidence to suggest that Brueghel's family was particularly wealthy or that he inherited any significant privileges or disadvantages.","""Pieter Bruegel the Elder: A Biography"" by Leen Huet and ""Pieter Bruegel"" by Larry Silver."
11,Q170267,Andreas Vesalius,Q170267,1515,Belgium,Middle Class,"Andreas Vesalius was born into a family of physicians, which indicates a middle-class background. His father, Andries van Wesel, served as an apothecary to Emperor Maximilian, and his grandfather, Johannes van Wesel, was a notable physician to the Duke of Burgundy. This suggests that the family had a stable income and a certain level of social standing, but they were not part of the ruling elite. Vesalius's access to education was likely due to his family's professional background and not because of inherited wealth or nobility. He studied at the University of Leuven and later at the University of Paris, which suggests a comfortable living condition but does not necessarily indicate elite status.","1. O'Malley, C. D. (1964). Andreas Vesalius of Brussels, 1514-1564. Berkeley: University of California Press.
2. Saunders, J. B., & O'Malley, C. D. (1950). The illustrations from the works of Andreas Vesalius of Brussels. Cleveland: World Pub. Co.
3. Ball, J. M. (2008). Andreas Vesalius the Reformer of Anatomy. Medical Science Monitor Basic Research, 14(8), RA112–RA116."
12,Q62530,Maria Sibylla Merian,Q62530,1647,Netherlands,Middle Class,"Maria Sibylla Merian was born in Frankfurt, Germany, in 1647 to a family of publishers and artists. Her father, Mattheus Merian the Elder, was a prominent Swiss engraver and publisher, indicating a middle-class background. After her father's death in 1650, her mother, Johanna Sibylla Heim, remarried to Jacob Marrel, a still-life painter who likely provided Maria with her early artistic training. This suggests that Maria had access to education and resources due to her family's status and profession, which were typically associated with the middle class during this period. The family's ability to maintain a publishing business and support an artist also suggests a certain level of wealth and stability, further indicating a middle-class background.","1. Todd, Kim. ""Chrysalis: Maria Sibylla Merian and the Secrets of Metamorphosis."" Harcourt, 2007.
2. Wettengl, Kurt. ""Maria Sibylla Merian: Artist and Naturalist 1647-1717."" Hatje Cantz, 1998."
13,Q214816,Pierre Bayle,Q214816,1647,Netherlands,Middle Class,"Pierre Bayle was born in Carla-Bayle, a small town in the south of France, not the Netherlands. His father, Jean Bayle, was a Protestant minister, which would place the family within the middle class according to the given typology. The family was not of noble birth nor were they subsistence laborers. As the son of a minister, Pierre Bayle would have had access to education due to his family background. His father's occupation indicates a certain level of education and social standing within their community. However, there is no evidence to suggest that the family was particularly wealthy or that Bayle grew up in luxurious living conditions. The Bayle family, being Protestant in a predominantly Catholic country, would have faced certain disadvantages, particularly after the revocation of the Edict of Nantes in 1685, which had previously granted rights to Protestants in France.","""Pierre Bayle"" by Thomas M. Lennon and Michael Hickson, Stanford Encyclopedia of Philosophy; ""Pierre Bayle: A Critical Biography"" by Elisabeth Labrousse."
14,Q209050,Jan Brueghel the Elder,Q209050,1568,Belgium,Middle Class,"Jan Brueghel the Elder was born into a family of artists, which would place him in the middle class according to the provided typology. His father, Pieter Brueghel the Elder, was a renowned painter, and his mother, Mayken Coecke, came from a family of artists as well. This suggests that Jan Brueghel the Elder was born into a family with a certain level of wealth and social standing, as artists were typically considered skilled craftspeople and were often commissioned by the elite. Furthermore, Jan Brueghel the Elder's access to education in the arts was likely due to his family background, as his father would have been able to provide him with training. His early life housing and living conditions would have been relatively comfortable, as his family would have been able to afford a decent home and lifestyle. However, there is no evidence to suggest that Jan Brueghel the Elder was born into the elite or subsistence classes.","- ""Bruegel Family."" Encyclopædia Britannica. https://www.britannica.com/topic/Bruegel-family
- ""Jan Brueghel the Elder."" The National Gallery. https://www.nationalgallery.org.uk/artists/jan-brueghel-the-elder
- ""Jan Brueghel the Elder."" The J. Paul Getty Museum. http://www.getty.edu/art/collection/artists"
15,Q232916,Abraham Ortelius,Q232916,1527,Belgium,Middle Class,"Abraham Ortelius was born in Antwerp, Belgium, a city known for its thriving commerce and trade during the 16th century. His family was of the middle class, with his father, Leonard Ortels, working as a wealthy merchant. This would have provided the family with a comfortable living and access to education for their children. Ortelius himself was educated in Greek and Latin, which suggests a certain level of family wealth and status, as education during this period was not universally accessible. The family's wealth and status would have also been reflected in their living conditions, which would have been comfortable for the time. However, there is no evidence to suggest that Ortelius was born into the elite or ruling class, nor that he was born into a family of subsistence farmers or laborers.","""Abraham Ortelius and the First Atlas: Essays Commemorating the Quadricentennial of His Death, 1598-1998"" by Marcel Van den Broecke, Peter van der Krogt, and Peter Meurer; ""The History of Cartography, Volume 3: Cartography in the European Renaissance"" by David Woodward."
16,Q315871,Justus Lipsius,Q315871,1547,Belgium,Middle Class,"Justus Lipsius, born Joest Lips, was born in Overijse, a small town near Brussels in what is now Belgium. His father was a notary, a profession that required literacy, education, and a degree of social standing, suggesting a middle-class background. Lipsius himself was able to attend the University of Leuven, one of the oldest and most prestigious universities in Europe, from a young age. This implies that his family had the financial means to support his education, further supporting the classification of Lipsius as middle class. However, there is no evidence to suggest that Lipsius was born into the elite or subsistence classes. His family was not part of the nobility, nor were they impoverished laborers or peasants.","""Justus Lipsius"" by Jan Papy in Stanford Encyclopedia of Philosophy (2006); ""Justus Lipsius: European Philology and Writing History"" by Marc van der Poel in History of Humanities (2016)."
17,Q335022,David Teniers the Younger,Q335022,1610,Belgium,Middle Class,"David Teniers the Younger was born into a family of artists, which would place them in the middle class according to the provided typology. His father, David Teniers the Elder, was a well-known painter and his mother, Dymphna Cornelisse de Wilde, was the daughter of a wealthy Antwerp merchant. This suggests that the family had a reasonable level of wealth and social standing, but were not part of the elite ruling class or nobility. The fact that Teniers the Younger followed in his father's footsteps and became a painter himself suggests that he had access to education and training in the arts from a young age, which would have been a privilege not available to those in the subsistence class. However, there is no evidence to suggest that the family lived in particularly luxurious conditions or had any inherited privileges beyond their artistic talent and connections.","""David Teniers and the Theatre of Painting"" by Margret Klinge, Courtauld Institute Galleries, 2006. ""David Teniers the Younger"" by Arthur K. Wheelock Jr., in Flemish Paintings of the Seventeenth Century, National Gallery of Art, Washington, 2005."
18,Q270658,Jacob Jordaens,Q270658,1593,Belgium,Middle Class,"Jacob Jordaens was born in Antwerp, Belgium around 1593 to a wealthy linen merchant, Adam Jordaens, and his wife, Barbara van Wolschaten. His family's occupation and wealth place them firmly in the middle class of the time, as they were engaged in trade but were not part of the nobility. Jacob Jordaens had access to education due to his family's status, as he was apprenticed to Adam van Noort, a leading painter in Antwerp, at a young age. This suggests that his family had the means to secure such an apprenticeship, further indicating their middle-class status. The family's living conditions would have been comfortable, given their trade, but not luxurious as would be expected of the elite class. There is no evidence of any inherited privileges or disadvantages.","""Jacob Jordaens (1593–1678)"" by H. Vlieghe, Oxford Art Online; ""Jacob Jordaens: His Life and Work"" by R.A. d'Hulst."
19,Q68631,Rogier van der Weyden,Q68631,1390,Belgium,Middle Class,"Rogier van der Weyden was born as Rogier de le Pasture in Tournai, which was a thriving center of commerce in the late 14th century. His father, Henri de le Pasture, was a cutler (knife maker), a profession that would have placed the family within the middle class. The fact that Rogier was later able to train as a painter, a profession that required a lengthy and expensive apprenticeship, suggests that his family had the means to support his education. However, there is no evidence to suggest that the family was of noble birth or had significant wealth beyond what would be expected of a skilled craftsman's family.","""Rogier van der Weyden: The Complete Works"" by Dirk de Vos; ""Rogier van der Weyden, Master of Passions"" by Lorne Campbell and Jan Van der Stock."
20,Q205863,Jan Steen,Q205863,1626,Netherlands,Middle Class,"Jan Steen was born in Leiden, Netherlands, around 1626. His father, Havick Steen, was a brewer and grain merchant, which would place the family in the middle class according to the typology provided. The brewing and grain trade were profitable businesses during this period, suggesting that the Steen family had a reasonable level of wealth. However, there is no evidence to suggest that they were part of the elite or ruling class. Jan Steen's mother, Elisabeth Capiteyn, came from a well-to-do family, further supporting the classification of Steen's family as middle class. Steen was able to attend Latin school and later studied at Leiden University, indicating that his family had the means to provide him with a good education. The family lived in a house on the Burcht of Leiden, a fortified hill in the city center, suggesting comfortable living conditions.","""Jan Steen: Painter and Storyteller"" by H. Perry Chapman, Wouter Th. Kloek, and Arthur K. Wheelock Jr., published by the National Gallery of Art, Washington; ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806"" by Jonathan I. Israel, published by Oxford University Press."
21,Q130531,Hieronymus Bosch,Q130531,1450,Netherlands,Middle Class,"Hieronymus Bosch was born as Jheronimus van Aken around 1450 in 's-Hertogenbosch, in the Duchy of Brabant, which is part of present-day Netherlands. His family was of the middle class, with several family members being successful painters. His father, Anthonius van Aken, was an artistic adviser to the Illustrious Brotherhood of Our Blessed Lady. It is likely that Bosch received his training from his father or one of his uncles. The van Aken family owned a house in 's-Hertogenbosch, and Bosch inherited this house and other properties after his father's death. His family's status and wealth would have provided him with a comfortable upbringing and access to education, which was not common for the lower classes at the time.","Gibson, Walter S. (1973). ""Hieronymus Bosch; an annotated bibliography"". Simiolus: Netherlands Quarterly for the History of Art. 6 (2): 115–146. ; Koldeweij, Jos (2001). Hieronymus Bosch: New Insights Into His Life and Work. NAi Publishers. ; Ilsink, Matthijs; Koldeweij, Jos (2016). Hieronymus Bosch, Painter and Draughtsman: Catalogue Raisonné. Yale University Press."
22,Q352438,Adriaen van Ostade,Q352438,1610,Netherlands,Middle Class,"Adriaen van Ostade was born in Haarlem, Netherlands, around 1610. His father, Jan Hendricx Ostade, was a weaver, which was a skilled craft occupation. This would place the family in the middle class according to the provided typology. The family was not of noble birth or extreme wealth, but they were also not living in subsistence conditions. Adriaen and his brother, Isaac van Ostade, both had access to education in the form of apprenticeships in painting, which suggests a certain level of family resources and social standing. Adriaen was apprenticed to Frans Hals, a well-known painter in Haarlem. This apprenticeship would have required some form of payment or patronage, further suggesting a middle-class background. However, there is no specific information available about the family's wealth, housing conditions, or inherited privileges or disadvantages.","""Adriaen van Ostade"", The National Gallery, London; ""Adriaen van Ostade"", The Metropolitan Museum of Art, New York; ""Adriaen van Ostade"", The J. Paul Getty Museum, Los Angeles."
23,Q106851,Hans Memling,Q106851,1435,Belgium,,"The birth circumstances and family background of Hans Memling, a renowned painter of the Early Netherlandish school, are largely unknown. There is no concrete information available about his parents, their occupations, or their social standing. Similarly, there is no information about the family's wealth at the time of his birth and childhood, his access to education due to his family background, his early life housing and living conditions, or any inherited privileges or disadvantages. It is known that Memling was born around 1435, possibly in Seligenstadt, Germany, and later moved to Bruges, Belgium, where he became a leading artist. However, his life prior to this move is largely undocumented.","The primary sources of information about Memling's life are the records of the Guild of Saint Luke in Bruges, where he was a member, and the accounts of 16th-century biographer Karel van Mander. However, these sources focus on his career as an artist and provide little information about his early life or family background. Further information might potentially be found in local archives or church records in Seligenstadt or Bruges, but these have not been extensively researched."
24,Q165367,Hendrik Goltzius,Q165367,1558,Netherlands,Middle Class,"Hendrik Goltzius was born in the town of Mulbracht, now part of Brüggen in North Rhine-Westphalia. His father, Jan Goltz, was a painter and glassmaker, indicating that the family was involved in skilled crafts, which is characteristic of the middle class during this period. Goltzius's father likely had a modest income from his craft, providing a stable, though not wealthy, upbringing for his family. Goltzius was also able to receive some education, as evidenced by his early apprenticeship with his father and later with the painter Dirck Volckertsz Coornhert, which suggests that his family had enough resources to facilitate this training. However, there is no evidence to suggest that Goltzius was born into the elite or subsistence classes. His family's occupation and the education he received are indicative of a middle-class background.","""Hendrik Goltzius (1558–1617): Prints, Drawings, and Paintings"" by Lawrence Nichols; ""The New Hollstein Dutch & Flemish Etchings, Engravings and Woodcuts 1450-1700: Hendrick Goltzius"" by Ger Luijten, Jan Piet Filedt Kok, and Huigen Leeflang."
25,Q335927,Gerrit Dou,Q335927,1613,Netherlands,Middle Class,"Gerrit Dou was born in Leiden, Netherlands, in 1613. His father, Douwe Janszoon, was a glass engraver and stained glass maker, which was a skilled craft occupation. This places the family in the middle class according to the typology provided. Douwe Janszoon was also a member of the Leiden Guild of Saint Luke, a professional organization for painters and other artists, which further supports this classification. Gerrit Dou's mother, Marritgen Gerritsdr, came from a family of shoemakers, another skilled craft occupation. The family's wealth at the time of Dou's birth and childhood is not well-documented, but the occupations of his parents suggest they were not impoverished. Dou's father was able to provide him with an early education in drawing and engraving, indicating some level of financial stability and access to education. There is no evidence of inherited privileges or disadvantages.","""Gerrit Dou, 1613–1675: Master Painter in the Age of Rembrandt"" by Arthur K. Wheelock Jr., Ronni Baer, and Frederik J. Duparc; ""The Leiden Guild of Saint Luke in the Seventeenth Century"" by J. Michael Montias."
26,Q315163,Joseph Justus Scaliger,Q315163,1540,Netherlands,Elite,"Joseph Justus Scaliger was born into a wealthy and influential family. His father, Julius Caesar Scaliger, was a renowned physician, scholar, and poet who served the bishop of Agen, a position that would have placed him within the elite class of society. The Scaliger family was originally from Italy and claimed descent from the Della Scala princes of Verona, further indicating their high social standing. 

Joseph's access to education was a direct result of his family's status. His father, a learned man himself, provided him with a comprehensive education in languages and sciences. This level of education was not common among the lower classes and indicates a privileged upbringing.

The family's wealth and status would have also afforded them comfortable living conditions. While specific details about their housing are not readily available, it can be inferred from their social standing that they would have lived in a manner befitting their class.","- ""Joseph Justus Scaliger."" Encyclopædia Britannica. https://www.britannica.com/biography/Joseph-Justus-Scaliger
- ""Julius Caesar Scaliger."" Encyclopædia Britannica. https://www.britannica.com/biography/Julius-Caesar-Scaliger
- Grafton, Anthony. ""Joseph Scaliger: A Study in the History of Classical Scholarship."" Oxford University Press, 1983."
27,Q314548,Gerard van Honthorst,Q314548,1592,Netherlands,Middle Class,"Gerard van Honthorst was born in Utrecht, Netherlands around 1592. His father, Herman van Honthorst, was a decorative painter and his mother, Margaretha van Rhijn, came from a well-to-do family. This suggests that Honthorst was born into a middle-class family. His father's occupation as a decorative painter indicates that the family was not of the elite class, but they were also not subsistence level as his father had a skilled trade. Additionally, Honthorst's access to education in the form of apprenticeships under his father and later, Abraham Bloemaert, a prominent Dutch painter, further suggests a middle-class background as such opportunities were typically not available to those of lower social standing.","""Gerard van Honthorst: A Discussion of his Position in Dutch Art"" by J. Richard Judson; ""Dutch Seventeenth-Century Genre Painting: Its Stylistic and Thematic Evolution"" by Wayne Franits."
28,Q711737,Nicolaes Pieterszoon Berchem,Q711737,1622,Netherlands,Middle Class,"Nicolaes Pieterszoon Berchem was born into a family of artists, which suggests a middle-class background. His father, Pieter Claesz, was a well-known still-life painter, and his mother, Brechtje van der Waals, was also from an artistic family. This indicates that Berchem was born into a family of skilled craftspeople, a characteristic of the middle class. The family's ability to support Berchem's artistic education, including his apprenticeships with various painters, suggests they had some level of financial stability. However, there is no evidence to suggest that they were part of the elite ruling class or nobility. Similarly, there is no indication that they were subsistence-level laborers or peasants.","""Nicolaes Berchem,"" in The Oxford Dictionary of Art and Artists, edited by Ian Chilvers. Oxford University Press, 2009. ""Nicolaes Berchem,"" in The Grove Encyclopedia of Northern Renaissance Art, edited by Jane Turner. Oxford University Press, 2009."
29,Q316357,Luis Vives,Q316357,1492,Belgium,Middle Class,"Juan Luis Vives was born in Valencia, Spain, not Belgium, around 1493 to a family of converted Jews. His parents were well-off merchants, which places them in the middle class according to the provided typology. The family's wealth allowed Vives to receive a good education, further indicating their middle-class status. However, the family faced significant disadvantages due to their Jewish heritage in a time of religious persecution. In 1502, when Vives was around nine years old, his parents were accused of secretly practicing Judaism and were executed by the Spanish Inquisition. This tragic event would have significantly impacted Vives' childhood living conditions and access to resources.","""Juan Luis Vives"" by Carlos G. Noreña, published in the Stanford Encyclopedia of Philosophy; ""Juan Luis Vives Against the Pseudodialecticians: A Humanist Attack on Medieval Logic"" by Fritz N. Pløn, published by Springer."
30,Q520327,Willem Blaeu,Q520327,1571,Netherlands,Middle Class,"Willem Janszoon Blaeu was born in Uitgeest or Alkmaar, in the Netherlands, around 1571. His father was a well-to-do herring merchant, which would place his family in the middle class according to the typology provided. The herring trade was a significant industry in the Netherlands during this period, and a successful merchant would have been able to provide a comfortable life for his family. This is further supported by the fact that Blaeu was able to study in Amsterdam and later at the University of Leiden, suggesting that his family had the means to support his education. However, there is no evidence to suggest that his family held any noble titles or significant political power, which would be characteristic of the elite class. Similarly, there is no indication that his family was struggling to meet basic needs, which would be characteristic of the subsistence class.","""Willem Janszoon Blaeu"" by Peter van der Krogt, in 'Globi Neerlandici: The Production of Globes in the Low Countries' (Utrecht: HES Publishers, 1993); ""The Herring Trade and the Dutch Economy, 1600-1860"" by Jan de Vries, in 'The Economic History Review' (Vol. 48, No. 3, 1995)."
31,Q206173,Karel van Mander the Elder,Q206173,1548,Netherlands,Middle Class,"Karel van Mander the Elder was born in Meulebeke, a small village in the County of Flanders, which is now part of Belgium. His father, Cornelis van Mander, was a miller, which was a skilled trade and would have placed the family in the middle class. The family was not nobility, but they were not peasants either. They had a stable income and were able to provide for their children. Karel's father was able to send him to Ghent to study Latin, which suggests that the family had some disposable income and valued education. However, there is no evidence to suggest that the family was particularly wealthy or that Karel had any inherited privileges.","""Karel van Mander: His Life and Work"" by Hessel Miedema, ""The Lives of the Illustrious Netherlandish and German Painters"" by Karel van Mander."
32,Q313093,Herman Boerhaave,Q313093,1668,Netherlands,Middle Class,"Herman Boerhaave was born in Voorhout, Netherlands, to a minister father, James Boerhaave, and his wife, Hagar Daelder. His father's occupation as a minister would have placed the family in the middle class, as clergy were typically considered part of this social stratum during the late 17th century. However, the family was not wealthy, and after the death of his father when Boerhaave was just 11 years old, they fell into poverty. Despite these financial struggles, Boerhaave was able to attend the Latin school in Leiden due to the support of local churchgoers who recognized his potential. This access to education, while not directly due to family wealth or status, was nonetheless a result of his father's occupation and the family's standing in the community. His early life housing and living conditions would have been modest, reflecting the family's middle-class status and later financial difficulties.","""Herman Boerhaave (1668–1738)"" by G. A. Lindeboom in the Journal of Medical Biography, 2007; ""Herman Boerhaave: The Man and His Work"" by E. Ashworth Underwood in the Medical History journal, 1959."
33,Q320980,Lucas van Leyden,Q320980,1494,Netherlands,Middle Class,"Lucas van Leyden was born in Leiden, Netherlands around 1494. His father, Huygh Jacobsz, was a painter and frame maker, and his mother was the daughter of a Leiden city council member. This suggests that Lucas was born into a family of skilled craftspeople and local civic leaders, which would place them in the middle class according to the given typology. Lucas was likely exposed to art and craft from an early age due to his father's occupation. His maternal grandfather's position in the city council suggests that the family had some level of social standing and possibly some access to education, although specific details about Lucas's early education are not well-documented. The family's living conditions and wealth at the time of Lucas's birth and childhood are not well-documented either, but the occupations of his father and grandfather suggest that they were not living in poverty.","""Lucas van Leyden."" The J. Paul Getty Museum. www.getty.edu/art/collection/artists/342/lucas-van-leyden-dutch-about-1494-1533/ ; ""Lucas van Leyden."" National Gallery of Art. www.nga.gov/collection/artist-info.1446.html"
